,Player,Age,Nation,Position,Club,Birthday,Astrology,Foot,Height,Wage,youth_value,Game Value,TransferMarket Value,Game Rating,predicted_rate,Fotball Critic rating,FMyear,rate avg,ratio predicted,numeric position,numeric foot,value_rate,label,label value
0,Chris Mepham,22,Brazil,Central Defenders,Bournemouth,11.0,Scorpio,Right,191,48000.0,6200000.0,7000000.0,25000.0,80.0,79.0,72.0,2019.0,75.5,0.94375,1,2,0.0040322580645161,0,0
1,Saul Salcedo,22,England,Central Defenders,Olimpia,8.0,Virgo,Right,182,28000.0,3300000.0,566000.0,25000.0,77.0,75.0,53.0,2019.0,64.0,0.831168831168831,1,2,0.0075757575757575,0,0
2,Victor Nelsson,21,Brazil,Central Defenders,FC Kobenhavn,10.0,Libra,Right,184,28000.0,1500000.0,1000000.0,25000.0,75.0,73.0,60.0,2019.0,66.5,0.886666666666667,1,2,0.0166666666666666,0,0
3,Adalberto Penaranda,23,England,Strikers,Watford,5.0,Gemini,Right,185,128000.0,18500000.0,3000000.0,400000.0,81.0,75.0,52.0,2018.0,63.5,0.783950617283951,9,2,0.0216216216216216,0,0
4,Silvan Hefti,22,England,Central Defenders,Young Boys,10.0,Scorpio,Right,182,20000.0,2300000.0,3000000.0,50000.0,79.0,77.0,70.0,2019.0,73.5,0.930379746835443,1,2,0.0217391304347826,0,0
5,Nikola Milenkovic,22,Poland,Central Defenders,Fiorentina,10.0,Libra,Right,195,104000.0,14300000.0,12000000.0,350000.0,84.0,80.0,74.0,2019.0,77.0,0.916666666666667,1,2,0.0244755244755244,0,0
6,Federico Dimarco,22,Argentina,Left Backs,Inter,11.0,Scorpio,Left,175,28000.0,1800000.0,6000000.0,50000.0,77.0,75.0,81.0,2019.0,78.0,1.01298701298701,5,1,0.0277777777777777,0,0
7,Joaquin Rikemberg,17,Brazil,Central Attacking Midfielders,"Feb 24, 2021",1.0,Capricorn,Either,180,12000.0,1500000.0,50000.0,50000.0,77.0,68.0,68.0,2018.0,68.0,0.883116883116883,0,0,0.0333333333333333,0,0
8,Axel Tuanzebe,22,Argentina,Central Defenders,Man Utd,11.0,Scorpio,Right,185,140000.0,7700000.0,23000000.0,325000.0,77.0,77.0,69.0,2019.0,73.0,0.948051948051948,1,2,0.0422077922077922,0,0
9,Callum Slattery,21,Brazil,Central Attacking Midfielders,Southampton,2.0,Aquarius,Right,175,8000.0,950000.0,446000.0,50000.0,76.0,67.0,68.0,2019.0,67.5,0.888157894736842,0,2,0.0526315789473684,0,0
