,Player,Age,Nation,Position,Club,Birthday,Astrology,Foot,Height,Wage,youth_value,Game Value,TransferMarket Value,Game Rating,predicted_rate,Fotball Critic rating,FMyear,rate avg,ratio predicted,numeric position,numeric foot,value_rate,label,label value
14,Pablo Becker,27,Argentina,Central Attacking Midfielders,Aldosivi,4.0,Taurus,Right,173,8000.0,1500000.0,931000.0,100000.0,74.0,71.0,99.0,2014.0,71.0,0.959459459459459,0,2,0.0666666666666666,0,0
18,Imoh Ezekiel,26,Nigiria,Strikers,Al-Jazira (UAE),10.0,Scorpio,Right,170,76000.0,5000000.0,920000.0,400000.0,75.0,71.0,68.0,2014.0,69.5,0.926666666666667,9,2,0.08,0,0
24,Matias Sanchez,24,Argentina,Defensive Midfielders,Chacarita Jrs.,7.0,Cancer,Right,174,8000.0,1400000.0,377000.0,125000.0,70.0,71.0,68.0,2014.0,69.5,0.992857142857143,3,2,0.0892857142857142,0,0
30,Alen Halilovic,24,Croatia,Central Attacking Midfielders,Birmingham,6.0,Gemini,Left,169,28000.0,6200000.0,270000.0,600000.0,78.0,72.0,57.0,2014.0,64.5,0.826923076923077,0,1,0.0967741935483871,0,0
54,Lee Nicholls,27,England,Goalkeepers,MK Dons,10.0,Libra,Right,196,12000.0,1400000.0,183000.0,200000.0,80.0,71.0,99.0,2014.0,71.0,0.8875,4,2,0.142857142857143,0,0
65,Laurens De Bock,27,Belgium,Central Defenders,Leeds,11.0,Scorpio,Left,179,60000.0,4300000.0,1000000.0,700000.0,76.0,72.0,68.0,2014.0,70.0,0.921052631578947,1,1,0.162790697674419,0,0
69,Jores Okore,27,Denmark,Central Defenders,AaB,8.0,Leo,Right,183,24000.0,4300000.0,529000.0,750000.0,79.0,74.0,99.0,2014.0,74.0,0.936708860759494,1,2,0.174418604651163,0,0
72,Moritz Leitner,27,Germany,Central Attacking Midfielders,Norwich,12.0,Sagittarius,Right,174,72000.0,4400000.0,1000000.0,800000.0,76.0,73.0,53.0,2014.0,63.0,0.828947368421053,0,2,0.181818181818182,0,0
85,Alan Ruiz,26,Argentina,Central Attacking Midfielders,Arsenal (Sarandí),8.0,Leo,Left,183,32000.0,2300000.0,2000000.0,450000.0,74.0,76.0,48.0,2014.0,62.0,0.837837837837838,0,1,0.195652173913044,0,0
87,Maximilian Meyer,24,Germany,Central Attacking Midfielders,1. FC Köln,9.0,Virgo,Either,169,12000.0,7500000.0,3000000.0,1500000.0,85.0,76.0,68.0,2014.0,72.0,0.847058823529412,0,0,0.2,0,0
94,Simeon Slavchev,26,Bulgaria,Defensive Midfielders,Levski,9.0,Libra,Right,186,8000.0,940000.0,48000.0,200000.0,76.0,68.0,68.0,2014.0,68.0,0.894736842105263,3,2,0.212765957446809,0,0
